listing_date,code,company_name,market
2026-06-01,575A,前澤ホールディングス（株）,プライム
2026-04-24,559A,梅乃宿酒造（株）,スタンダード
2026-04-23,556A,犬猫生活（株）,グロース
2026-04-22,558A,（株）SQUEEZE,グロース
2026-04-21,554A,（株）バトンズ,グロース
2026-04-09,550A,（株）ソフトテックス,スタンダード
2026-04-07,549A,ヒトトヒトホールディングス（株）,スタンダード
2026-04-06,548A,（株）システムエグゼ,スタンダード
2026-04-02,542A,（株）ビタブリッドジャパン,グロース
2026-04-01,543A,ARCHION（株）,プライム
2026-04-01,544A,GMSグループ（株）,プライム
2026-04-01,545A,（株）トランヴィア,プライム
2026-04-01,546A,MIRAINIホールディングス（株）,プライム
2026-04-01,547A,ムニノバホールディングス（株）,プライム
2026-03-27,523A,（株）セイワホールディングス,グロース
2026-03-25,519A,（株）ベーシック,グロース
2026-03-25,520A,ジェイファーマ（株）,グロース
2026-02-27,505A,（株）ギークリー,スタンダード
2026-02-24,504A,イノバセル（株）,グロース
2026-02-13,500A,（株）ＴＯブックス,スタンダード
2025-12-25,480A,（株）リブ・コンサルティング,グロース
2025-12-24,478A,（株）フツパー,グロース
2025-12-24,479A,PRONI（株）,グロース
2025-12-23,483A,テラテクノロジー（株）,スタンダード
2025-12-22,477A,（株）スタートライン,グロース
2025-12-19,475A,（株）ギミック,スタンダード
2025-12-19,476A,辻・本郷ＩＴコンサルティング（株）,スタンダード
2025-12-19,485A,（株）パワーエックス,グロース
2025-12-18,472A,（株）ミラティブ,グロース
2025-12-17,8303,（株）SBI新生銀行,プライム
2025-12-16,471A,NSグループ（株）,プライム
2025-12-15,5537,（株）AlbaLink,グロース
2025-12-12,469A,（株）フィットクルー,グロース
2025-12-05,462A,（株）ＦＵＮＤＩＮＮＯ,グロース
2025-12-01,460A,ＢＲＡＮＵ（株）,グロース
2025-12-01,463A,（株）インテリックスホールディングス,スタンダード
2025-12-01,464A,（株）ＱＰＳホールディングス,グロース
2025-11-27,456A,HUMAN MADE（株）,グロース
2025-11-21,446A,（株）ノースサンド,グロース
2025-11-05,442A,クラシコ（株）,グロース
2025-11-04,441A,ＮＥ（株）,グロース
2025-10-24,438A,（株）インフキュリオン,グロース
2025-10-23,436A,サイバーソリューションズ（株）,グロース
2025-10-17,431A,ユーソナー（株）,グロース
2025-10-16,429A,テクセンドフォトマスク（株）,プライム
2025-10-15,423A,（株）ライオン事務器,スタンダード
2025-10-08,428A,サイプレス・ホールディングス（株）,スタンダード
2025-10-06,421A,（株）ムービン・ストラテジック・キャリア,グロース
2025-10-03,414A,（株）オーバーラップホールディングス,グロース
2025-10-01,415A,GMO TECHホールディングス（株）,グロース
2025-10-01,416A,富士ユナイトホールディングス（株）,スタンダード
2025-10-01,417A,（株）ブルーゾーンホールディングス,プライム
2025-09-29,8729,ソニーフィナンシャルグループ（株）,プライム
2025-09-26,407A,（株）UNICONホールディングス,スタンダード
2025-09-25,409A,オリオンビール（株）,プライム
2025-09-25,410A,GMOコマース（株）,グロース
2025-08-13,402A,（株）アクセルスペースホールディングス,グロース
2025-07-24,387A,フラー（株）,グロース
2025-07-18,386A,（株）みのや,スタンダード
2025-07-04,378A,（株）ヒット,グロース
2025-06-30,372A,（株）レント,スタンダード
2025-06-30,373A,（株）リップス,グロース
2025-06-26,369A,（株）エータイ,グロース
2025-06-25,368A,（株）北里コーポレーション,プライム
2025-06-24,367A,プリモグローバルホールディングス（株）,スタンダード
2025-06-23,366A,ウェルネス・コミュニケーションズ（株）,グロース
2025-06-20,365A,伊澤タオル（株）,スタンダード
2025-04-24,352A,（株）ＬＩＦＥ　ＣＲＥＡＴＥ,グロース
2025-04-22,350A,デジタルグリッド（株）,グロース
2025-04-07,343A,（株）ＩＡＣＥトラベル,スタンダード
2025-03-31,340A,（株）ジグザグ,グロース
2025-03-28,339A,プログレス・テクノロジーズ グループ（株）,グロース
2025-03-28,341A,（株）トヨコー,グロース
2025-03-27,336A,ダイナミックマッププラットフォーム（株）,グロース
2025-03-27,338A,（株）ＺｅｎｍｕＴｅｃｈ,グロース
2025-03-25,334A,（株）ビジュアル・プロセッシング・ジャパン,グロース
2025-03-24,335A,（株）ミライロ,グロース
2025-03-21,332A,ミーク（株）,グロース
2025-03-19,331A,（株）メディックス,スタンダード
2025-03-19,5016,ＪＸ金属（株）,プライム
2025-03-18,330A,（株）TalentX,グロース
2025-02-28,325A,（株）TENTIAL,グロース
2025-02-21,324A,（株）ブッキングリゾート,グロース
2025-02-20,323A,（株）フライヤー,グロース
2025-02-05,319A,（株）技術承継機構,グロース
2024-12-27,302A,（株）ビースタイルホールディングス,グロース
2024-12-26,298A,ＧＶＡ　ＴＥＣＨ（株）,グロース
2024-12-26,303A,（株）ｖｉｓｕｍｏ,グロース
2024-12-26,304A,フォルシア（株）,グロース
2024-12-25,297A,アルピコホールディングス（株）,スタンダード
2024-12-25,300A,MIC（株）,スタンダード
2024-12-23,296A,令和アカウンティング・ホールディングス（株）,グロース
2024-12-19,290A,（株）Synspective,グロース
